year,county,Region,milk_kg,milk_unit_price_kshs,milk_total_value_kshs,chevon_kg,chevon_unit_price_kshs,chevon_total_value_kshs
2020,Bungoma,Non-ASAL,3740750.88,60,224445052.8,160148,500,80074000
2020,Busia,Non-ASAL,1156234.04,60,69374042.4,176146,400,70458400
2020,Elgeyo-Marakwet,Semi-Arid (Low),2105505.36,45,94747741.2,245508,450,110478600
2020,Embu,Non-ASAL,1783739.52,35,62430883.2,520743,500,260371500
2020,Garissa,Arid,3732930.416,60,223975825,4630624,480,2222699520
2020,Homa Bay,Non-ASAL,781820.72,67.5,52772898.6,884579,446.25,406192890
2020,Isiolo,Arid,2075798.88,70,145305921.6,5425778,500,2712889000
2020,Kajiado,Semi-Arid,4865418.56,60,291925113.6,5005440,600,3003264000
2020,Kakamega,Non-ASAL,4604445.96,52,239431189.9,52349,490,25651010
2020,Kericho,Non-ASAL,7388000,40,295520000,144298.58,600,86579148
2020,Kiambu,Non-ASAL,13841743.49,35,484461022,16212392.14,350,5451658841
2020,Kilifi,Semi-Arid,731436.64,60,43886198.4,636838.5,428.5714286,285752325
2020,Kirinyaga,Non-ASAL,1636471.5,30,49094145,88270.2,330,30235140
2020,Kisii,Non-ASAL,1510311.52,48,72494952.96,126151,442.2222222,56197460
2020,Kisumu,Non-ASAL,1372187.04,60,82331222.4,442081,460,203357260
2020,Kitui,Semi-Arid,406315.08,70,28442055.6,3543689,495,1746119580
2020,Kwale,Semi-Arid,328040,60,19682400,724950,465,355844000
2020,Laikipia,Semi-Arid,1336866,63.33333333,84668180,584404,433.3333333,257942400
2020,Lamu,Semi-Arid (Low),160647.6,60,9638856,231966,475,104937000
2020,Machakos,Semi-Arid (Low),1295259.72,60,77715583.2,1141995,500,570997500
2020,Makueni,Semi-Arid,1211638.08,51.66666667,62601300.8,1503403.2,541.6666667,821807460
2020,Mandera,Arid,1528878.3,77.14285714,117942040.3,9097747.2,464.2857143,4165047720
2020,Marsabit,Arid,4160496.52,70,291234756.4,6185366,412.5,2514660250
2020,Meru,Semi-Arid,10566791.17,50,528339558.6,743103.36,444.4444444,330303312
2020,Migori,Non-ASAL,810864.56,56.25,45611131.5,657755,493.75,327936700
2020,Mombasa,Non-ASAL,69775.56,80,5582044.8,58885.4,416.6666667,23631560
2020,Murang'a,Non-ASAL,5569192.92,33,183783366.4,184760,443.75,82262000
2020,Nairobi,Non-ASAL,457108.28,60,27426496.8,90770.4,540.9090909,48732480
2020,Nakuru,Semi-Arid (Low),15242094.8,34,518231223.2,405717,434.5454545,173068250
2020,Nandi,Non-ASAL,6739620.74,32,215667863.7,6264111,445.5,2814545178
2020,Narok,Semi-Arid (Low),4110194.959,40,164407798.4,2278838.002,408.3333333,930525517.7
2020,Nyamira,Non-ASAL,568728.18,45,25592768.1,53708.95,500,26854475
2020,Nyandarua,Non-ASAL,12689051.68,40,507562067.2,78764.68,541.6666667,42565690
2020,Nyeri,Non-ASAL,7140870.8,40,285634832,163811,420,68800620
2020,Samburu,Arid,538599.64,60,32315978.4,1497576,500,748788000
2020,Siaya,Non-ASAL,1080159.84,70,75611188.8,871196,480,418174080
2020,Taita Taveta,Semi-Arid,843534.52,35,29523708.2,93280,480,44774400
2020,Tana River,Arid,1526987.6,65,99254194,331213,426.6666667,143404400
2020,Tharaka-Nithi,Semi-Arid,1446398.8,56,80998332.8,361772.2,520,190826110
2020,Trans Nzoia,Non-ASAL,7481091.61,30,224432748.3,65070,600,39042000
2020,Turkana,Arid,4275397.74,60,256523864.4,2129560,600,1277736000
2020,Uasin-Gishu,Non-ASAL,8314755.28,30,249442658.4,530232,480,254511360
2020,Vihiga,Non-ASAL,1264535.2,60,75872112,17880,500,8940000
2020,Wajir,Arid,2618678.4,100,261867840,4208862,500,2104431000
2020,West Pokot,Semi-Arid,404135.7844,60,24248147.06,315914.4,465,146900196
2021,Trans Nzoia,Non-ASAL,7385321.77,36,265871583.7,65070,500,32535000
2021,West Pokot,Semi-Arid,416791.92,60,25007515.2,1135420.2,500,567710100
2021,Uasin-Gishu,Non-ASAL,8730493.08,35,305567257.8,533184,600,319910400
2021,Turkana,Arid,17794562.2,60,1067673732,13075746,600,7845447600
2021,Kirinyaga,Non-ASAL,1675973.58,40,67038943.2,128601,350,45010350
2021,Nakuru,Semi-Arid (Low),12391040.42,44,545205778.5,2568275,518,1330366450
2021,Nyandarua,Non-ASAL,12714202.4,40,508568096,114840,550,63162000
2021,NYERI,Non-ASAL,4774199.04,40,190967961.6,228454,420,95950680
2021,EMBU,Non-ASAL,6485042.84,35,226976499.4,580896,600,348537600
2021,Isiolo,Arid,2179588.76,70,152571213.2,8409788,600,5045872800
2021,Marsabit,Arid,530544,100,53054400,407160,400,162864000
2021,Tharaka-Nithi,Semi-Arid,1566896.4,56,87746198.4,4021261,500,2010630500
2021,Meru,Semi-Arid,13714631.47,50,685731573.6,261620,600,156972000
2021,Homa Bay,Non-ASAL,802562.9,80,64205032,920945.8,500,460472900
2021,Migori,Non-ASAL,822423.16,60,49345389.6,814820,500,407410000
2021,Siaya,Non-ASAL,861879.32,65,56022155.8,596982,500,298491000
2021,Kisumu,Non-ASAL,1418931.494,60,85135889.66,478626.3,500,239313150
2021,Kilifi,Semi-Arid,243760.64,50,12188032,166989,400,66795600
2021,Kwale,Semi-Arid,1181130,80,94490400,146376,500,73188000
2021,Mombasa,Non-ASAL,74662.6,80,5973008,58430,650,37979500
2021,Taita Taveta,Semi-Arid,876350,35,30672250,102004,480,48961920
2021,Vihiga,Non-ASAL,1411864,60,84711840,24690,550,13579500
2021,Bungoma,Non-ASAL,3789715.68,60,227382940.8,223559,600,134135400
2021,Nyamira,Non-ASAL,767016.48,50,38350824,74723.4,500,37361700
2021,KISII,Non-ASAL,1221013.732,47.27272727,57720649.16,111202.8088,600,66721685.26
2021,Bomet,Non-ASAL,5452906.465,35,190851726.3,257168.8854,480,123441065
2021,NAROK,Semi-Arid (Low),3566072.56,40,142642902.4,2324414.763,400,929765905
2021,Nairobi,Non-ASAL,584560.8,60,35073648,88411.5,550,48626325
2021,Kiambu,Non-ASAL,13774186.68,40,550967467.3,214404.246,300,64321273.8
2021,Samburu,Arid,143914.32,60,8634859.2,1483332,500,741666000
2021,Murang'a,Non-ASAL,5734982.68,40,229399307.2,54450,500,27225000
2021,Laikipia,Semi-Arid,1454935.2,48.33333333,70321868,888000,433.3333333,384800000
2021,Kajiado,Semi-Arid,3929352,58,227902416,3796830,560,2126224800
2021,Machakos,Semi-Arid (Low),1118169.4,50,55908470,1089858,600,653914800
2021,Makueni,Semi-Arid,1110316.982,60,66619018.9,2404302.605,600,1442581563
2021,Kitui,Semi-Arid,406315.08,70,28442055.6,3543689,600,2126213400
2021,Busia,Non-ASAL,1216358.28,60,72981496.8,177894,400,71157600
2021,Lamu,Semi-Arid (Low),169452,80,13556160,355210,600,213126000
2021,Mandera,Arid,1734401.98,100,173440198,9097747.2,500,4548873600
2021,TANA RIVER,Arid,1526962.4,70,106887368,404116,600,242469600
2021,Nandi,Non-ASAL,7662785.17,35,268197480.9,39380.4,500,19690200
2021,Kericho,Non-ASAL,4846074.06,40,193842962.4,160727,600,96436200
2021,Baringo,Semi-Arid,1409646.36,60,84578781.6,1293317,600,775990200
2021,Elgeyo-Marakwet,Semi-Arid (Low),2343416.56,45,105453745.2,938007,550,515903850
2021,Wajir,Arid,11186073.96,100,1118607396,4208862,500,2104431000
2021,Garissa,Arid,3732930.416,60,223975825,4630624,480,2222699520
